ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Condition,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_1QrNpAqHkCCVZu6,19,1,1,3,4,1,2,1,2,1,2,4,4,4,4,4,2,1,3,3,1,1,2,2,2,2,2,1,2,3,3,3,3,3,3
R_1E5mO2cTyXqN4AC,17,2,7,3,4,1,2,1,2,1,2,4,3,2,4,4,2,1,2,1,1,1,3,1,1,2,2,2,4,4,3,4,3,3,3
R_3FWmLQYZgl7N5Tt,18,2,6,2,3,4,1,1,2,2,3,2,1,3,3,2,3,3,4,4,4,4,2,1,1,1,1,1,3,3,2,3,3,2,3
R_3et0QUwiae6tjb5,22,1,2,2,3,4,1,1,2,2,3,2,2,2,3,3,3,4,4,3,4,4,3,2,2,1,1,1,4,2,2,2,4,2,3
R_1kIDJPzvnzxjPXn,19,2,5,2,3,4,1,1,2,2,3,2,3,2,2,2,4,4,3,1,4,4,4,3,2,3,4,3,1,3,3,2,1,1,2
R_3fTzAK1vgIkxydv,18,1,1,2,3,4,1,1,2,2,3,3,3,2,3,3,4,3,4,3,3,2,4,4,4,1,4,1,1,4,2,3,2,3,3
R_AnXHACfuYhsuPEB,18,2,1,2,3,4,1,1,2,2,3,3,2,3,3,2,3,4,4,4,3,4,4,1,1,1,1,1,1,2,2,2,2,2,2
R_OiDNRH5QIDZTCal,19,2,1,2,3,4,1,1,2,2,3,3,1,3,3,1,3,4,4,4,2,3,4,1,1,1,3,1,1,3,2,2,2,2,2
R_1NwZKG6pOSDqzkA,18,2,4,2,3,4,1,1,2,2,3,3,2,4,3,3,3,4,4,1,2,4,4,1,1,2,2,1,1,2,2,2,2,2,4
R_CdfLxAW0hNM8K77,20,2,1,2,3,4,1,1,2,2,3,3,3,2,3,3,3,4,4,4,3,4,4,1,2,1,1,1,1,2,2,3,3,3,3
R_3iBWEYowxtQIRcI,18,1,1,2,3,4,1,1,2,2,3,3,2,1,3,3,4,4,1,1,4,4,4,2,2,2,1,1,1,1,2,2,2,4,2
R_3oSJmjxHozEvJlv,18,2,2,2,3,4,1,1,2,2,3,3,3,2,3,3,3,4,4,1,4,4,4,1,2,2,2,1,1,2,4,1,2,2,4
R_2uvKJK4mhwvRXsI,18,1,1,2,3,4,1,1,2,2,3,3,2,4,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,2,2,4,2,2,2
R_DvkUV5EMnAeowLf,18,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,3,4,4,4,4,2,1,1,3,1,1,3,2,4,2,2,4
R_2ygsLNoWDYx0DkZ,18,2,1,2,3,4,1,1,2,2,3,3,2,3,3,3,4,2,4,1,4,3,4,1,2,4,1,1,1,2,2,3,2,2,4
R_3nx5kz926AS2HhW,17,1,5,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,1,1,3,1,1,4,2,2,2,2,2,2
R_Q6XHlXrjPuRn1Ch,19,2,7,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,1,1,4,4,1,3,1,2,3,2,2,2,2,2,2,2
R_3FXWz2t9gJiKLsm,20,2,1,2,3,4,1,1,2,2,3,3,2,3,3,2,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,3,2,2,2
R_2VwG4k0VCRBxIXS,19,1,1,2,3,4,1,1,2,2,3,3,3,2,4,4,3,3,3,1,4,3,4,1,3,4,1,4,3,2,2,4,2,2,1
R_1mKKNvFqHhrsq6o,18,2,2,2,3,4,1,1,2,2,3,3,3,3,3,1,3,4,4,4,4,4,3,2,1,1,2,1,1,2,2,4,2,2,2
R_1mgiFnWRdyoWAz9,21,1,6,2,3,4,1,1,2,2,3,3,1,4,3,3,3,4,4,3,4,2,2,1,3,1,1,1,1,4,2,2,2,2,2
R_OOwNuQVfmRhDgRj,19,2,6,2,3,4,1,1,2,2,3,3,2,1,3,3,3,4,2,4,4,2,4,1,2,2,4,2,1,2,1,1,2,1,1
R_2TGAgEIRo88lfZH,20,1,5,2,3,4,1,1,2,2,3,3,2,4,3,2,1,2,4,2,4,4,4,3,2,1,4,3,3,2,2,3,2,2,2
R_2D78WIQZEHSvtsk,19,2,2,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2,4,1,1,1,1,1,4,4,4,4,2,4
R_z267CglxJfbeNHj,18,2,2,2,3,4,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,2,1,2,2,2,2,2,2
R_1lnpId69ae8Oy96,18,1,2,2,3,4,1,1,2,2,3,4,1,1,4,4,3,3,4,3,4,3,4,1,1,1,2,1,3,2,1,4,2,2,2
R_28M1oELp47DjuwU,18,1,4,2,1,4,1,1,2,2,3,4,2,2,4,4,4,2,2,4,1,2,1,1,3,3,3,2,3,2,2,1,4,4,1
R_2rOXgMt1m4ldFsR,19,2,1,1,2,3,4,1,2,2,4,1,4,3,2,1,4,2,3,4,3,3,3,2,3,4,2,3,2,1,4,2,4,3,2
R_3G0Mo4XWh73eEqy,18,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,2,3,2,3,2,3,4,2,4,4,4,4,1,1,1,1,1,1
R_DGeQy6wXjX3ETYt,18,2,5,1,2,3,4,1,2,2,4,2,2,3,2,2,2,4,1,4,1,4,1,3,3,1,4,3,3,1,1,1,1,1,1
