"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","age","sex","race","AC_1","AC_2","AC_3","AC_4","AC","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"1",12,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.8,0.333333333333333,0.416666666666667,18,1,2,3,2,1,4,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,4,4,4,4,4,4,3,2,2,3,3,3,0.333333333333333,0.5
"2",102,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.5,0.4,0.333333333333333,0.5,18,1,1,4,3,2,1,1,2,1,3,4,4,3,3,1,3,2,3,1,3,4,1,1,2,4,1,3,1,2,2,3,4,4,2,0.666666666666667,0.333333333333333
"3",170,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.8,1,0.75,19,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,3,4,4,1,1,1,1,2,1,0.833333333333333,0.666666666666667
"4",178,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.333333333333333,0.166666666666667,18,2,6,4,1,3,4,0.5,1,2,1,3,1,1,3,3,4,4,4,3,1,3,1,2,2,2,2,3,1,3,4,4,1,4,3,0.166666666666667,0.166666666666667
"5",280,0.333333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.6,0.583333333333333,0.666666666666667,21,1,2,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,4,1,4,4,4,2,2,2,4,2,1,2,1,2,2,1,1,0.666666666666667,0.666666666666667
"6",397,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,19,1,6,1,2,3,4,1,2,2,4,1,2,4,4,4,2,4,2,3,1,4,4,3,3,1,2,3,3,3,2,3,1,2,3,0.166666666666667,0.166666666666667
"7",464,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.8,0.583333333333333,0.583333333333333,19,2,4,4,3,2,1,1,2,1,3,3,2,3,3,1,3,2,2,4,3,4,3,4,1,4,1,3,3,2,2,2,2,2,2,0.5,0.666666666666667
"8",548,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.25,0.8,0.416666666666667,0.5,21,2,1,3,2,1,4,1,1,1,2,3,1,4,4,3,1,1,3,3,1,1,1,2,2,4,4,4,1,3,4,4,3,3,2,0.333333333333333,0.666666666666667
"9",553,0.333333333333333,0,1,0.666666666666667,0.333333333333333,0.25,0.8,0.25,0.5,19,2,2,4,1,2,3,1,1,2,1,4,4,2,4,4,2,4,4,3,2,1,2,4,3,4,3,2,1,1,4,4,4,4,4,0.333333333333333,0.666666666666667
"10",673,0.666666666666667,0.666666666666667,1,1,1,0.75,0.8,0.833333333333333,0.833333333333333,19,1,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,3,3,4,3,4,4,1,4,4,4,0.833333333333333,0.833333333333333
"11",691,0,0.333333333333333,1,0.666666666666667,0.333333333333333,0.5,0.6,0.5,0.5,19,2,7,1,4,3,2,1,2,1,4,2,3,2,4,2,2,4,3,4,3,4,3,3,1,3,3,2,2,1,1,1,1,1,2,0.333333333333333,0.666666666666667
"12",700,1,0,1,0.666666666666667,0.666666666666667,0.5,0.8,0.666666666666667,0.666666666666667,19,2,1,1,2,3,4,1,2,2,4,3,1,2,2,3,2,3,3,3,2,2,3,4,1,4,4,4,2,1,3,1,1,1,1,0.666666666666667,0.666666666666667
"13",823,0.333333333333333,0.333333333333333,1,0.666666666666667,0.666666666666667,0.25,0.8,0.166666666666667,0.583333333333333,18,2,7,1,2,3,4,1,2,2,4,3,3,2,2,1,2,2,1,4,2,3,3,1,4,1,4,2,1,2,4,3,1,1,3,0.333333333333333,0.833333333333333
"14",833,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.6,0.583333333333333,0.583333333333333,18,2,1,1,4,3,2,1,2,1,4,2,1,3,3,2,2,1,3,3,2,2,4,2,4,4,4,4,1,1,1,4,1,1,1,0.5,0.666666666666667
"15",921,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.75,0.2,0.416666666666667,0.5,19,2,1,3,4,1,2,1,1,2,2,3,1,4,4,4,3,3,3,1,1,3,3,3,2,2,1,2,2,4,3,1,3,4,2,0.666666666666667,0.333333333333333
"16",928,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,1,0.333333333333333,0.75,19,2,4,2,3,4,1,1,2,2,3,3,2,2,3,3,3,1,1,1,4,4,4,1,4,4,4,4,4,3,2,2,2,2,2,0.666666666666667,0.833333333333333
"17",941,0,0,0.333333333333333,0.666666666666667,0,0.5,0.2,0.166666666666667,0.25,18,1,2,1,2,3,4,1,2,2,4,2,1,4,1,4,2,4,1,3,3,1,3,2,2,2,2,2,2,4,4,4,4,4,4,0.333333333333333,0.166666666666667
"18",969,0,1,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.4,0.666666666666667,0.5,18,2,5,2,3,4,1,1,2,2,3,2,4,3,2,3,2,4,4,4,4,4,4,1,4,1,1,4,1,2,1,2,3,4,3,0.333333333333333,0.666666666666667
"19",986,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.666666666666667,0.833333333333333,18,2,5,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,4,2,3,1,1,2,2,2,3,3,3,3,3,3,1,0.666666666666667
"20",1026,0,0,0.666666666666667,0,0,0,0.4,0.25,0.166666666666667,19,2,6,4,3,2,1,1,2,1,3,2,2,2,4,4,1,3,1,3,1,3,3,2,1,4,4,4,4,2,2,3,2,2,1,0,0.333333333333333
"21",1041,0.666666666666667,0.666666666666667,0.333333333333333,1,1,0.75,0.4,0.666666666666667,0.666666666666667,18,2,1,2,1,4,3,1,1,1,1,1,4,1,1,1,1,3,2,1,2,4,3,3,3,4,3,1,3,4,4,4,4,2,4,0.833333333333333,0.5
"22",1108,1,0.666666666666667,0,0.666666666666667,1,0.75,0.2,0.5,0.583333333333333,19,2,1,3,2,1,4,1,1,1,2,3,1,2,4,4,4,3,1,4,3,3,3,2,2,2,2,2,2,3,3,4,1,1,3,0.833333333333333,0.333333333333333
"23",1114,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.75,0.2,0.416666666666667,0.5,19,2,1,4,3,2,1,1,2,1,3,3,1,1,3,3,3,4,4,2,4,2,2,2,3,1,3,2,1,3,2,3,1,1,2,0.833333333333333,0.166666666666667
"24",1118,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,1,0.4,0.583333333333333,0.5,19,2,1,2,3,4,2,0.75,2,2,3,2,3,2,2,2,3,4,4,3,4,4,4,1,1,1,4,1,1,3,3,2,3,3,3,0.666666666666667,0.333333333333333
"25",1154,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.916666666666667,0.833333333333333,19,1,1,1,2,3,4,1,2,2,4,2,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0.666666666666667
"26",1181,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.8,0.5,0.666666666666667,18,2,2,2,1,4,3,1,1,1,1,4,3,3,3,1,4,2,2,1,4,2,4,3,4,3,3,3,3,2,4,4,4,4,4,0.5,0.833333333333333
"27",1234,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.583333333333333,0.5,18,1,5,2,1,4,3,1,1,1,1,1,1,3,4,1,1,2,1,3,1,2,2,4,3,4,4,3,4,4,4,4,4,2,1,0.333333333333333,0.666666666666667
"28",1237,0.333333333333333,0.666666666666667,0,0.666666666666667,1,0.25,0.2,0.166666666666667,0.416666666666667,18,2,2,2,3,4,1,1,2,2,3,3,2,3,3,3,3,1,2,1,1,4,1,2,2,2,1,2,2,3,4,4,4,1,4,0.333333333333333,0.5
"29",1246,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.6,0.583333333333333,0.5,21,1,5,2,1,4,3,1,1,1,1,2,1,1,4,2,1,3,2,1,1,3,1,2,3,3,3,1,3,3,4,4,4,4,4,0.5,0.5
"30",1300,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,0.75,0.6,0.5,0.666666666666667,18,2,1,3,2,1,4,1,1,1,2,3,4,2,3,4,4,3,1,3,1,1,3,3,2,2,2,2,4,3,3,4,4,3,3,0.666666666666667,0.666666666666667
"31",1333,0.666666666666667,1,1,1,1,0.75,1,1,0.916666666666667,18,2,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,3,4,4,4,4,4,4,0.833333333333333,1
"32",1382,0,0,0.666666666666667,0.333333333333333,0,0.25,0.4,0.25,0.25,18,2,1,3,4,1,2,1,1,2,2,1,3,2,2,2,4,1,4,2,2,4,4,4,4,2,1,4,1,3,4,1,3,3,1,0.166666666666667,0.333333333333333
"33",1403,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.8,0.583333333333333,0.75,22,1,5,3,4,1,2,1,1,2,2,3,4,4,1,3,4,3,1,3,1,1,1,2,2,3,2,2,2,3,1,3,3,1,3,0.833333333333333,0.666666666666667
"34",1470,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0,1,0.666666666666667,0.666666666666667,20,2,1,4,3,2,1,1,2,1,3,3,3,3,3,3,4,4,2,1,3,4,4,1,3,2,1,3,3,2,2,2,2,2,2,0.333333333333333,1
"35",1522,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.5,0.8,0.666666666666667,0.666666666666667,19,2,6,3,2,1,4,1,1,1,2,4,4,1,3,4,4,1,3,1,1,4,1,2,2,2,2,4,4,4,3,4,3,3,3,0.5,0.833333333333333
"36",1618,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.2,0.25,0.25,19,2,1,4,3,2,1,1,2,1,3,1,3,1,1,3,1,4,4,2,4,2,4,2,2,2,2,2,2,3,3,3,3,3,3,0.166666666666667,0.333333333333333
"37",1699,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.416666666666667,0.5,19,2,2,1,2,3,4,1,2,2,4,2,3,3,3,3,3,3,2,2,2,3,1,4,3,4,4,4,4,3,1,2,1,1,3,0.333333333333333,0.666666666666667
"38",1736,1,0.666666666666667,1,1,1,1,0.8,0.583333333333333,0.916666666666667,20,2,2,2,1,4,3,1,1,1,1,1,1,4,1,1,1,2,4,2,2,1,2,4,3,4,3,3,3,1,4,4,4,4,4,1,0.833333333333333
"39",1766,1,1,1,0.666666666666667,1,0.75,1,0.5,0.916666666666667,20,1,1,3,4,1,2,1,1,2,2,4,3,4,4,4,2,1,1,1,1,1,1,3,1,3,2,2,2,1,3,2,3,3,3,0.833333333333333,1
"40",1769,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.4,0.333333333333333,0.583333333333333,20,2,7,4,1,2,3,1,1,2,1,4,1,2,3,1,1,4,3,1,2,1,2,4,2,3,1,3,3,4,3,4,1,4,1,0.666666666666667,0.5
"41",2002,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0.5,0.8,0.333333333333333,0.5,18,2,2,3,4,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,4,2,3,1,2,3,3,3,0.5,0.5
"42",2114,0.666666666666667,0,0.666666666666667,0,0,0.25,0.6,0.25,0.333333333333333,18,2,7,1,2,3,4,1,2,2,4,3,2,2,4,3,4,2,3,4,2,2,3,3,1,3,3,4,2,3,2,2,1,4,1,0.333333333333333,0.333333333333333
"43",2115,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.6,0.666666666666667,0.583333333333333,21,2,4,3,4,1,2,1,1,2,2,4,4,2,4,4,4,1,4,2,1,1,2,2,2,2,1,1,4,3,3,1,3,3,1,0.5,0.666666666666667
"44",2142,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0,1,0.75,0.583333333333333,19,2,2,2,3,4,1,1,2,2,3,3,4,3,3,3,4,4,4,4,1,4,4,1,3,1,4,3,3,2,2,1,2,2,2,0.333333333333333,0.833333333333333
"45",2163,0.666666666666667,0.333333333333333,1,0.666666666666667,1,0.5,0.6,0.75,0.666666666666667,18,1,1,4,3,2,1,1,2,1,3,3,3,3,3,3,4,4,2,3,4,3,4,1,4,1,1,1,3,2,2,2,2,2,3,0.5,0.833333333333333
"46",2249,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.8,0.5,0.666666666666667,19,2,2,3,4,1,2,1,1,2,2,1,1,1,1,1,4,4,4,1,3,1,3,2,2,2,2,2,2,3,4,3,3,3,3,0.666666666666667,0.666666666666667
"47",2264,0.666666666666667,0.666666666666667,0,0.666666666666667,1,0.75,0,0.416666666666667,0.5,18,2,7,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,3,3,3,3,3,2,2,1,2,2,2,1,1,2,1,1,1,0.666666666666667,0.333333333333333
"48",2333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.666666666666667,0.5,18,1,1,4,3,2,1,1,2,1,3,4,2,2,4,4,4,3,4,4,3,4,3,1,1,1,1,1,1,2,2,2,2,2,4,0.333333333333333,0.666666666666667
