ID,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
8852,18,2,6,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,4,1,4,1,2,2,3,2,2,2,3,3,4,3,3,3
8898,23,1,2,3,2,1,4,1,1,1,2,2,3,2,2,2,1,1,3,2,4,3,1,3,4,2,4,2,2,3,1,2,3,1,3
8929,21,1,6,4,3,2,3,0.75,2,1,3,3,4,2,3,3,3,2,2,3,2,3,4,3,1,4,3,1,3,2,2,4,1,2,2
9048,17,2,2,4,1,2,3,1,1,2,1,3,3,1,4,1,2,3,4,2,3,3,4,2,2,2,2,4,3,4,1,1,2,4,2
9113,18,2,1,3,2,1,4,1,1,1,2,2,4,2,2,1,2,3,1,4,1,1,1,2,4,1,2,1,1,3,3,4,3,3,2
9162,18,1,1,1,4,3,2,1,2,1,4,2,1,2,2,1,2,1,4,3,1,1,3,3,1,3,1,3,3,2,3,1,1,1,1
9234,17,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,1,1,1,3,3,3,3,4,2,4,1,2,3,1,1,4,1,1,1
9274,18,1,1,3,4,1,2,1,1,2,2,2,4,4,3,4,4,3,2,2,1,1,1,4,4,4,2,4,2,3,2,2,4,3,4
9390,22,1,6,3,2,1,4,1,1,1,2,2,3,4,4,3,4,3,3,4,1,2,4,2,2,3,4,2,2,4,3,1,1,3,3
9529,20,2,1,4,3,2,1,1,2,1,3,3,2,3,3,3,4,2,4,4,4,1,1,1,1,1,2,3,4,2,2,3,2,4,4
9538,18,2,5,2,3,4,1,1,2,2,3,1,2,3,1,4,1,2,2,3,4,3,3,2,4,1,1,2,3,4,1,4,1,4,3
9551,20,2,1,1,2,3,4,1,2,2,4,1,2,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,1,2,2,1,1,1,2
9574,19,2,2,4,3,2,1,1,2,1,3,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,2,2,4,2,2,2
9628,19,2,1,1,2,3,4,1,2,2,4,2,3,2,3,3,2,3,1,2,2,2,3,3,3,2,1,2,1,3,1,4,1,1,2
9655,19,1,7,3,2,1,4,1,1,1,2,4,4,4,4,3,4,1,1,1,1,1,1,2,2,2,4,2,2,3,1,3,3,3,3
9661,18,2,2,1,4,3,2,1,2,1,4,2,4,2,2,2,2,1,1,3,1,3,3,1,4,4,1,4,2,2,1,2,2,1,4
9700,19,2,2,2,3,4,1,1,2,2,3,3,3,1,3,3,1,2,1,2,4,1,2,1,4,1,4,2,1,4,4,1,2,2,2
9774,20,2,1,3,4,1,2,1,1,2,2,4,3,4,4,4,4,1,3,1,1,1,1,2,2,3,2,2,1,3,3,1,3,3,3
9796,18,2,2,3,4,1,2,1,1,2,2,3,2,3,3,4,3,3,4,4,1,1,3,1,2,3,2,3,4,4,3,2,2,4,3
9890,20,2,1,4,1,2,3,1,1,2,1,1,4,2,2,2,4,4,4,4,1,1,2,3,3,3,3,2,3,3,4,2,1,2,1
9928,19,2,6,1,2,3,4,1,2,2,4,2,1,3,3,3,3,4,2,2,3,3,2,4,2,4,4,4,4,1,4,1,1,1,1
9942,18,2,5,1,2,3,4,1,2,2,4,4,2,2,4,1,4,3,3,3,3,2,3,4,2,4,4,4,1,1,2,2,1,2,2
9943,17,1,2,2,2,1,4,0.75,1,1,2,4,1,3,2,3,4,4,2,3,4,1,1,2,4,3,1,3,3,3,4,1,1,1,1
9984,18,2,2,4,3,2,1,1,2,1,3,2,2,4,2,2,4,2,3,1,4,3,1,2,1,4,3,4,1,4,1,1,3,3,3
1382,18,2,1,3,4,1,2,1,1,2,2,1,3,2,2,2,4,1,4,2,2,4,4,4,4,2,1,4,1,3,4,1,3,3,1
1026,19,2,6,4,3,2,1,1,2,1,3,2,2,2,4,4,1,3,1,3,1,3,3,2,1,4,4,4,4,2,2,3,2,2,1
310436,18,1,7,2,1,4,3,1,1,1,1,3,2,2,1,1,4,2,2,2,2,2,2,3,3,1,3,1,3,4,2,4,4,4,4
3163,18,2,6,2,1,4,3,1,1,1,1,2,2,1,2,3,3,1,4,1,3,2,2,3,3,2,1,3,3,4,3,1,4,4,4
4182,18,2,2,3,4,1,2,1,1,2,2,2,1,3,1,3,4,1,2,2,1,3,3,2,3,1,1,3,2,4,2,3,1,3,3
6809941,18,2,1,1,2,3,4,1,2,2,4,2,3,1,2,2,2,3,3,4,3,2,3,4,4,3,3,4,4,1,1,1,1,1,1
