ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_3gO7ZyaLlZH23Tx,19,1,2,4,3,2,1,1,2,1,3,3,3,1,3,3,3,2,4,4,4,4,4,4,2,2,2,2,2,1,1,3,2,1,1
R_3dYWrjaEcaHY2A0,18,1,1,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,4,2,4,2,1,1,1,2,2,2,2,1,1,3,3,4,1
R_w6kUonYFXiBRvGh,18,2,7,4,3,2,1,1,2,1,3,3,3,3,3,3,3,1,4,3,4,4,4,2,1,1,1,1,1,2,2,2,2,2,2
R_1H6k7nAgs83Oat6,18,1,2,4,3,2,1,1,2,1,3,3,3,2,3,3,4,3,2,3,1,4,4,4,4,1,1,1,1,2,2,2,2,2,2
R_brz1ntfQOTZL0CR,19,2,7,4,3,2,1,1,2,1,3,3,2,3,3,4,3,4,3,3,2,2,2,1,1,3,1,1,1,2,2,3,2,2,3
R_1Hqv8iTjtnMPy2k,20,2,1,4,3,2,1,1,2,1,3,3,3,3,2,3,1,4,4,1,2,4,3,1,3,1,3,2,3,2,1,1,2,1,2
R_3HLWXVLE2TCG3nq,20,1,1,4,3,2,1,1,2,1,3,3,3,3,3,3,1,4,4,2,4,4,4,1,1,1,3,1,1,2,2,2,2,2,2
R_2ru7m2HieNDF2Ew,20,2,1,4,3,2,1,1,2,1,3,3,3,3,3,3,1,4,4,4,4,4,4,1,1,1,1,1,1,2,2,1,2,2,2
R_2EhPkgaloHFzfVh,18,2,3,4,3,2,1,1,2,1,3,3,3,3,3,3,3,2,4,4,4,4,2,1,1,1,1,1,1,4,4,4,4,4,4
R_2V8i54qYOdmWNvK,18,2,5,4,3,2,1,1,2,1,3,3,2,3,3,2,4,4,1,4,4,1,4,1,3,1,2,1,3,2,2,2,2,2,2
R_1IEs8Q22JT8Ve3J,18,2,7,4,3,2,1,1,2,1,3,3,2,3,3,4,4,3,4,4,4,1,2,2,3,2,1,1,1,2,2,3,2,2,2
R_2ZHnQ1xH9hoMeT4,19,2,1,4,3,2,1,1,2,1,3,3,2,3,3,3,3,4,4,4,4,3,4,2,1,1,1,1,2,2,2,4,4,2,2
R_28M5NJ9hPuuXsxn,18,2,6,4,3,2,1,1,2,1,3,3,1,3,3,3,2,1,1,2,1,2,1,1,3,1,1,1,2,3,2,4,1,1,1
R_10C6Da540F2oAE1,20,2,1,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,4,4,4,4,4,1,4,1,1,1,3,2,2,1,2,2,2
R_3O9ckRlGB5XOGU5,24,1,1,4,3,2,1,1,2,1,3,3,1,3,3,3,3,4,4,4,4,4,4,1,3,1,1,1,1,2,2,2,2,2,2
R_cMEWmTHtjrw6dqN,18,2,4,4,3,2,1,1,2,1,3,3,3,3,3,3,1,3,4,4,1,4,4,1,4,4,1,1,4,2,2,1,2,2,4
R_WBTJ4axig7Gurlf,18,1,2,4,3,2,1,1,2,1,3,3,1,4,3,3,4,4,4,1,4,4,4,1,2,1,1,1,1,2,2,1,2,2,2
R_2TTNkEp1mQMoSfd,19,2,6,4,3,2,1,1,2,1,3,4,2,4,3,3,4,2,2,3,4,4,2,2,4,4,1,1,3,2,2,3,2,2,2
R_2D7gd8jh9geIqJk,18,2,1,4,3,2,1,1,2,1,3,4,3,4,3,3,3,4,4,3,3,3,3,1,1,1,1,1,1,2,2,3,2,2,2
R_2b2H457jGv743VD,20,2,5,1,4,3,2,1,2,1,4,1,1,1,1,1,2,3,3,1,3,3,2,2,1,4,3,4,4,2,2,1,2,3,2
R_2CemAAGnPAUofse,18,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,1,4,2,1,1,1,1,1
